"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"220006","Total number of national feature films produced","SVN","Slovenia","2014","2014",12,,
"220006","Total number of national feature films produced","SVN","Slovenia","2015","2015",20,,
"220006","Total number of national feature films produced","UKR","Ukraine","2005","2005",5,,
"220006","Total number of national feature films produced","UKR","Ukraine","2006","2006",7,,
"220006","Total number of national feature films produced","UKR","Ukraine","2007","2007",9,,
"220006","Total number of national feature films produced","UKR","Ukraine","2008","2008",17,,
"220006","Total number of national feature films produced","UKR","Ukraine","2009","2009",5,,
"220006","Total number of national feature films produced","UKR","Ukraine","2010","2010",,"n","Magnitude nil or negligible"
"220006","Total number of national feature films produced","UKR","Ukraine","2011","2011",3,,
"220006","Total number of national feature films produced","UKR","Ukraine","2012","2012",7,,
"220006","Total number of national feature films produced","UKR","Ukraine","2013","2013",12,,
"220006","Total number of national feature films produced","UKR","Ukraine","2014","2014",7,,
"220006","Total number of national feature films produced","UKR","Ukraine","2015","2015",3,,
"220006","Total number of national feature films produced","SRB","Serbia","2007","2007",19,,
"220006","Total number of national feature films produced","SRB","Serbia","2008","2008",16,,
"220006","Total number of national feature films produced","SRB","Serbia","2009","2009",26,,
"220006","Total number of national feature films produced","SRB","Serbia","2010","2010",35,,
"220006","Total number of national feature films produced","SRB","Serbia","2011","2011",29,,
"220006","Total number of national feature films produced","SRB","Serbia","2012","2012",29,,
"220006","Total number of national feature films produced","SRB","Serbia","2013","2013",18,,
"220006","Total number of national feature films produced","SRB","Serbia","2014","2014",35,,
"220006","Total number of national feature films produced","SRB","Serbia","2015","2015",35,,
"220006","Total number of national feature films produced","MNE","Montenegro","2010","2010",,"n","Magnitude nil or negligible"
"220006","Total number of national feature films produced","MNE","Montenegro","2011","2011",4,,
"220006","Total number of national feature films produced","MNE","Montenegro","2012","2012",4,,
"220006","Total number of national feature films produced","MNE","Montenegro","2013","2013",3,,
"220006","Total number of national feature films produced","MNE","Montenegro","2014","2014",10,,
"220006","Total number of national feature films produced","MNE","Montenegro","2015","2015",6,,
