"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"220006","Total number of national feature films produced","HUN","Hungary","2010","2010",24,,
"220006","Total number of national feature films produced","HUN","Hungary","2012","2012",32,"‡","UIS Estimation"
"220006","Total number of national feature films produced","HUN","Hungary","2013","2013",38,"‡","UIS Estimation"
"220006","Total number of national feature films produced","HUN","Hungary","2015","2015",41,,
"220006","Total number of national feature films produced","ISL","Iceland","2005","2005",2,,
"220006","Total number of national feature films produced","ISL","Iceland","2006","2006",6,,
"220006","Total number of national feature films produced","ISL","Iceland","2007","2007",9,,
"220006","Total number of national feature films produced","ISL","Iceland","2008","2008",10,,
"220006","Total number of national feature films produced","ISL","Iceland","2009","2009",12,,
"220006","Total number of national feature films produced","ISL","Iceland","2010","2010",17,,
"220006","Total number of national feature films produced","ISL","Iceland","2011","2011",13,,
"220006","Total number of national feature films produced","ISL","Iceland","2012","2012",8,,
"220006","Total number of national feature films produced","ISL","Iceland","2013","2013",7,,
"220006","Total number of national feature films produced","ISL","Iceland","2014","2014",15,"‡","UIS Estimation"
"220006","Total number of national feature films produced","ISL","Iceland","2015","2015",13,"‡","UIS Estimation"
"220006","Total number of national feature films produced","IRL","Ireland","2005","2005",10,,
"220006","Total number of national feature films produced","IRL","Ireland","2006","2006",19,,
"220006","Total number of national feature films produced","IRL","Ireland","2007","2007",24,,
"220006","Total number of national feature films produced","IRL","Ireland","2008","2008",39,,
"220006","Total number of national feature films produced","IRL","Ireland","2009","2009",36,,
"220006","Total number of national feature films produced","IRL","Ireland","2010","2010",34,,
"220006","Total number of national feature films produced","IRL","Ireland","2011","2011",32,,
"220006","Total number of national feature films produced","IRL","Ireland","2012","2012",38,,
"220006","Total number of national feature films produced","IRL","Ireland","2013","2013",34,,
"220006","Total number of national feature films produced","IRL","Ireland","2014","2014",33,,
"220006","Total number of national feature films produced","IRL","Ireland","2015","2015",33,,
"220006","Total number of national feature films produced","ITA","Italy","2005","2005",98,,
"220006","Total number of national feature films produced","ITA","Italy","2006","2006",116,,
"220006","Total number of national feature films produced","ITA","Italy","2007","2007",121,,
"220006","Total number of national feature films produced","ITA","Italy","2008","2008",154,,
"220006","Total number of national feature films produced","ITA","Italy","2009","2009",131,,
"220006","Total number of national feature films produced","ITA","Italy","2010","2010",142,,
"220006","Total number of national feature films produced","ITA","Italy","2011","2011",155,,
"220006","Total number of national feature films produced","ITA","Italy","2012","2012",166,,
"220006","Total number of national feature films produced","ITA","Italy","2013","2013",167,,
"220006","Total number of national feature films produced","ITA","Italy","2014","2014",201,,
"220006","Total number of national feature films produced","ITA","Italy","2015","2015",185,,
"220006","Total number of national feature films produced","LUX","Luxembourg","2005","2005",13,,
"220006","Total number of national feature films produced","LUX","Luxembourg","2006","2006",14,,
"220006","Total number of national feature films produced","LUX","Luxembourg","2007","2007",8,,
"220006","Total number of national feature films produced","LUX","Luxembourg","2008","2008",13,,
"220006","Total number of national feature films produced","LUX","Luxembourg","2009","2009",18,,
"220006","Total number of national feature films produced","LUX","Luxembourg","2010","2010",15,,
"220006","Total number of national feature films produced","LUX","Luxembourg","2011","2011",16,,
"220006","Total number of national feature films produced","NLD","Netherlands","2005","2005",51,,
"220006","Total number of national feature films produced","NLD","Netherlands","2006","2006",38,,
"220006","Total number of national feature films produced","NLD","Netherlands","2007","2007",42,,
"220006","Total number of national feature films produced","NLD","Netherlands","2008","2008",62,,
"220006","Total number of national feature films produced","NLD","Netherlands","2009","2009",50,,
"220006","Total number of national feature films produced","NLD","Netherlands","2010","2010",65,,
"220006","Total number of national feature films produced","NLD","Netherlands","2011","2011",73,,
"220006","Total number of national feature films produced","NLD","Netherlands","2012","2012",79,,
"220006","Total number of national feature films produced","NLD","Netherlands","2013","2013",68,,
"220006","Total number of national feature films produced","NLD","Netherlands","2014","2014",87,,
"220006","Total number of national feature films produced","NLD","Netherlands","2015","2015",87,,
"220006","Total number of national feature films produced","NOR","Norway","2005","2005",24,,
"220006","Total number of national feature films produced","NOR","Norway","2006","2006",24,,
"220006","Total number of national feature films produced","NOR","Norway","2007","2007",27,,
"220006","Total number of national feature films produced","NOR","Norway","2008","2008",30,,
"220006","Total number of national feature films produced","NOR","Norway","2009","2009",27,,
"220006","Total number of national feature films produced","NOR","Norway","2010","2010",27,,
"220006","Total number of national feature films produced","NOR","Norway","2011","2011",35,,
"220006","Total number of national feature films produced","NOR","Norway","2012","2012",26,,
"220006","Total number of national feature films produced","NOR","Norway","2013","2013",29,,
"220006","Total number of national feature films produced","NOR","Norway","2014","2014",34,,
"220006","Total number of national feature films produced","NOR","Norway","2015","2015",23,,
"220006","Total number of national feature films produced","POL","Poland","2005","2005",30,,
"220006","Total number of national feature films produced","POL","Poland","2006","2006",37,,
"220006","Total number of national feature films produced","POL","Poland","2007","2007",40,,
"220006","Total number of national feature films produced","POL","Poland","2008","2008",45,,
"220006","Total number of national feature films produced","POL","Poland","2009","2009",49,,
"220006","Total number of national feature films produced","POL","Poland","2010","2010",60,,
"220006","Total number of national feature films produced","POL","Poland","2011","2011",51,,
"220006","Total number of national feature films produced","POL","Poland","2012","2012",47,,
"220006","Total number of national feature films produced","POL","Poland","2013","2013",31,,
"220006","Total number of national feature films produced","POL","Poland","2014","2014",32,,
"220006","Total number of national feature films produced","POL","Poland","2015","2015",42,,
"220006","Total number of national feature films produced","PRT","Portugal","2005","2005",22,,
"220006","Total number of national feature films produced","PRT","Portugal","2006","2006",32,,
"220006","Total number of national feature films produced","PRT","Portugal","2007","2007",15,,
"220006","Total number of national feature films produced","PRT","Portugal","2008","2008",17,,
"220006","Total number of national feature films produced","PRT","Portugal","2009","2009",23,,
"220006","Total number of national feature films produced","PRT","Portugal","2010","2010",33,,
"220006","Total number of national feature films produced","PRT","Portugal","2011","2011",30,,
"220006","Total number of national feature films produced","PRT","Portugal","2012","2012",15,,
"220006","Total number of national feature films produced","PRT","Portugal","2013","2013",13,,
"220006","Total number of national feature films produced","PRT","Portugal","2014","2014",12,,
"220006","Total number of national feature films produced","PRT","Portugal","2015","2015",31,,
"220006","Total number of national feature films produced","SVK","Slovakia","2005","2005",8,,
"220006","Total number of national feature films produced","SVK","Slovakia","2006","2006",3,,
"220006","Total number of national feature films produced","SVK","Slovakia","2007","2007",10,,
"220006","Total number of national feature films produced","SVK","Slovakia","2008","2008",11,,
"220006","Total number of national feature films produced","SVK","Slovakia","2009","2009",18,,
"220006","Total number of national feature films produced","SVK","Slovakia","2010","2010",8,,
"220006","Total number of national feature films produced","SVK","Slovakia","2011","2011",12,,
"220006","Total number of national feature films produced","SVK","Slovakia","2012","2012",21,,
